line_id,bus0_id,bus1_id,voltage_kv,length_pdf,in_csv,geometry,connection_type,length_km,r_pu,x_pu,b_pu,rating_mva,region,is_transformer
L0036,36,40,66,48.55,False,"[[724.8, 291.151], [713.4, 287.551], [703.56, 310.471], [693.72, 304.231]]",actual,8.2535,0.005684,0.072569,0.00098509,50.0,01,
L0037,37,39,66,21.025,False,"[[684.36, 238.351], [690.72, 258.391]]",actual,3.5743,0.002462,0.031426,0.0004266,50.0,01,
L0038,37,230,66,24.696,False,"[[687.24, 233.671], [672.48, 213.871]]",actual,4.1983,0.002891,0.036914,0.00050109,50.0,01,
L0039,38,45,66,78.187,False,"[[506.64, 665.191], [506.88, 646.231], [508.92, 641.791], [509.04, 636.151], [505.68, 627.991], [490.56, 648.631], [490.562, 648.64], [490.5, 648.737], [490.376, 648.916], [490.194, 649.174], [489.958, 649.505], [489.671, 649.906], [489.337, 650.371], [488.959, 650.897], [488.54, 651.478], [488.085, 652.111], [487.596, 652.791], [487.078, 653.513], [486.533, 654.273], [485.966, 655.066], [485.379, 655.887], [484.777, 656.734], [484.162, 657.6], [483.539, 658.481], [482.91, 659.373], [482.28, 660.271]]",actual,13.2918,0.009154,0.116868,0.00158643,50.0,01,
L0040,38,45,66,18.446,False,"[[509.28, 670.471], [497.04, 684.271]]",actual,3.1358,0.00216,0.027572,0.00037427,50.0,01,
L0041,38,45,66,12.956,False,"[[507.6, 666.991], [495.12, 670.471]]",actual,2.2025,0.001517,0.019366,0.00026288,50.0,01,
L0042,38,45,66,18.386,False,"[[505.44, 669.751], [490.56, 680.551]]",actual,3.1256,0.002153,0.027482,0.00037306,50.0,01,
171A,38,149,66,23.16,False,"[[497.04, 684.271], [497.04, 707.431]]",actual,3.9372,0.002712,0.034618,0.00046992,50.0,01,
L0043,38,44,66,11.64,False,"[[474.36, 655.471], [483.0, 647.671]]",actual,1.9788,0.001363,0.017399,0.00023618,50.0,01,
L0044,39,40,66,52.456,False,"[[662.04, 273.631], [662.475, 274.847], [662.914, 276.115], [663.357, 277.428], [663.804, 278.783], [664.254, 280.171], [664.706, 281.589], [665.16, 283.029], [665.615, 284.487], [666.07, 285.956], [666.525, 287.431], [666.979, 288.906], [667.431, 290.376], [667.882, 291.833], [668.329, 293.274], [668.773, 294.691], [669.213, 296.08], [669.648, 297.434], [670.078, 298.748], [670.502, 300.015], [670.92, 301.231], [672.167, 301.336], [673.39, 301.434], [674.591, 301.526], [675.773, 301.613], [676.939, 301.696], [678.091, 301.776], [679.233, 301.852], [680.366, 301.926], [681.495, 301.999], [682.62, 302.071], [683.745, 302.143], [684.874, 302.216], [686.007, 302.29], [687.149, 302.367], [688.301, 302.446], [689.467, 302.529], [690.649, 302.616], [691.85, 302.709], [693.073, 302.807], [694.32, 302.911]]",actual,8.9175,0.006142,0.078407,0.00106435,50.0,01,
L0045,39,40,66,22.963,False,"[[693.12, 303.751], [696.24, 297.751], [696.24, 281.551]]",actual,3.9037,0.002689,0.034323,0.00046592,50.0,01,
L0046,39,147,66,36.939,False,"[[659.04, 275.671], [666.0, 303.031], [664.2, 311.551]]",actual,6.2796,0.004325,0.055213,0.0007495,50.0,01,
L0047,39,206,66,26.388,False,"[[680.4, 250.231], [684.6, 262.231], [687.72, 267.031], [691.56, 273.991]]",actual,4.486,0.00309,0.039443,0.00053542,50.0,01,
115H,41,42,66,62.306,False,"[[530.16, 606.271], [538.8, 592.711], [542.04, 592.711], [546.0, 584.911], [554.64, 577.231], [554.64, 554.551]]",actual,10.592,0.007295,0.09313,0.0012642,50.0,01,
L0048,41,44,66,16.526,False,"[[521.64, 620.431], [530.16, 606.271]]",actual,2.8094,0.001935,0.024702,0.00033532,50.0,01,
L0049,41,78,66,10.92,False,"[[538.32, 593.671], [538.32, 582.751]]",actual,1.8564,0.001279,0.016322,0.00022157,50.0,01,
1908,42,56,66,14.312,False,"[[555.36, 553.111], [563.16, 541.111]]",actual,2.433,0.001676,0.021392,0.00029039,50.0,01,
115F,43,44,66,21.277,False,"[[512.76, 646.231], [513.36, 638.911], [513.12, 634.711], [510.48, 625.351]]",actual,3.6171,0.002491,0.031803,0.00043172,50.0,01,
115E,43,45,66,17.653,False,"[[511.2, 666.391], [513.36, 648.871]]",actual,3.001,0.002067,0.026386,0.00035818,50.0,01,
L0050,44,151,66,11.716,False,"[[499.8, 618.751], [506.16, 628.591]]",actual,1.9917,0.001372,0.017512,0.00023772,50.0,01,
L0051,45,50,66,179.188,False,"[[602.76, 805.831], [602.321, 805.734], [601.904, 805.656], [601.505, 805.595], [601.123, 805.549], [600.756, 805.516], [600.4, 805.494], [600.055, 805.481], [599.717, 805.474], [599.384, 805.472], [599.055, 805.471], [598.727, 805.471], [598.397, 805.468], [598.063, 805.461], [597.724, 805.448], [597.377, 805.426], [597.019, 805.393], [596.649, 805.348], [596.264, 805.287], [595.862, 805.209], [595.44, 805.111], [587.88, 795.751], [593.28, 775.831], [578.04, 742.951], [571.56, 735.271], [565.32, 728.071], [535.08, 709.951], [521.88, 698.311], [512.52, 687.631], [508.8, 671.791]]",actual,30.462,0.020979,0.267836,0.00363577,50.0,01,
L0052,46,47,66,84.055,False,"[[188.88, 429.871], [195.72, 439.111], [190.8, 448.351], [219.12, 471.751], [229.08, 471.751], [229.087, 471.147], [229.107, 470.492], [229.138, 469.79], [229.18, 469.048], [229.23, 468.271], [229.287, 467.466], [229.35, 466.637], [229.418, 465.792], [229.488, 464.934], [229.56, 464.071], [229.632, 463.208], [229.702, 462.351], [229.77, 461.505], [229.833, 460.677], [229.89, 459.871], [229.94, 459.095], [229.982, 458.352], [230.013, 457.651], [230.033, 456.995], [230.04, 456.391]]",actual,14.2894,0.009841,0.125639,0.0017055,50.0,01,
L0053,46,109,66,63.628,False,"[[129.96, 448.831], [172.2, 425.551], [187.56, 426.631]]",actual,10.8168,0.00745,0.095106,0.00129103,50.0,01,
L0054,46,110,66,74.651,False,"[[198.72, 426.271], [203.52, 418.351], [203.935, 417.912], [204.352, 417.492], [204.776, 417.085], [205.209, 416.688], [205.654, 416.296], [206.114, 415.904], [206.593, 415.507], [207.093, 415.101], [207.618, 414.68], [208.17, 414.241], [208.753, 413.779], [209.369, 413.288], [210.022, 412.765], [210.715, 412.204], [211.451, 411.601], [212.233, 410.952], [213.064, 410.25], [213.946, 409.493], [214.884, 408.675], [215.88, 407.791], [216.529, 407.192], [217.18, 406.583], [217.833, 405.964], [218.488, 405.337], [219.146, 404.703], [219.807, 404.062], [220.47, 403.415], [221.137, 402.763], [221.807, 402.106], [222.48, 401.446], [223.157, 400.783], [223.837, 400.119], [224.522, 399.453], [225.211, 398.787], [225.904, 398.122], [226.601, 397.458], [227.303, 396.796], [228.011, 396.137], [228.723, 395.482], [229.44, 394.831], [249.84, 380.671], [254.88, 382.951]]",actual,12.6907,0.00874,0.111582,0.00151469,50.0,01,
L0055,47,49,66,82.252,False,"[[251.76, 525.031], [249.84, 516.391], [258.12, 505.351], [258.48, 500.431], [249.72, 489.271], [247.56, 481.711], [238.68, 467.791], [232.92, 463.951], [232.836, 463.592], [232.764, 463.2], [232.701, 462.78], [232.647, 462.335], [232.601, 461.868], [232.561, 461.384], [232.527, 460.886], [232.496, 460.378], [232.467, 459.864], [232.44, 459.346], [232.413, 458.83], [232.384, 458.318], [232.353, 457.814], [232.319, 457.323], [232.279, 456.847], [232.233, 456.39], [232.179, 455.957], [232.116, 455.55], [232.044, 455.173], [231.96, 454.831]]",actual,13.9828,0.00963,0.122944,0.00166891,50.0,01,
L0056,48,49,66,190.087,False,"[[99.72, 569.311], [103.08, 564.631], [111.48, 568.591], [124.56, 570.751], [142.08, 573.511], [153.96, 562.351], [164.16, 542.071], [177.12, 533.431], [190.08, 537.151], [195.84, 528.751], [208.8, 526.831], [209.069, 526.793], [209.337, 526.749], [209.602, 526.701], [209.867, 526.65], [210.129, 526.595], [210.391, 526.537], [210.651, 526.478], [210.91, 526.416], [211.168, 526.354], [211.425, 526.291], [211.681, 526.228], [211.936, 526.166], [212.191, 526.105], [212.445, 526.045], [212.698, 525.987], [212.951, 525.933], [213.204, 525.881], [213.456, 525.833], [213.708, 525.79], [213.96, 525.751], [227.64, 514.711], [241.08, 521.311], [247.32, 518.191], [249.6, 525.751]]",actual,32.3148,0.022255,0.284127,0.00385691,50.0,01,
L0057,48,153,66,45.387,False,"[[73.32, 556.111], [78.72, 544.951], [86.52, 547.231], [103.92, 564.991]]",actual,7.7158,0.005314,0.067841,0.00092091,50.0,01,
L0058,50,64,66,23.254,False,"[[604.92, 805.111], [598.08, 799.351], [598.08, 791.431], [602.16, 786.511]]",actual,3.9532,0.002723,0.034758,0.00047183,50.0,01,
L0059,50,65,66,50.259,False,"[[625.32, 798.391], [632.04, 804.991], [630.84, 810.391], [624.12, 810.991], [622.8, 814.351], [619.8, 816.391], [618.0, 815.671], [615.48, 816.991], [610.8, 815.791], [606.0, 805.111]]",actual,8.544,0.005884,0.075123,0.00101977,50.0,01,
L0060,50,66,66,84.914,False,"[[605.52, 806.431], [605.64, 819.031], [615.72, 838.111], [635.76, 867.391], [638.28, 876.511], [637.68, 882.271]]",actual,14.4354,0.009942,0.126923,0.00172293,50.0,01,
L0061,50,75,66,102.397,False,"[[505.92, 802.951], [527.04, 809.311], [577.56, 806.431], [600.48, 810.991], [605.16, 806.671]]",actual,17.4075,0.011989,0.153055,0.00207766,50.0,01,
L0062,51,98,66,14.086,False,"[[544.92, 340.591], [534.96, 330.631]]",actual,2.3946,0.001649,0.021055,0.00028581,50.0,01,
L0063,52,53,66,23.675,False,"[[398.4, 361.591], [410.76, 348.991], [406.56, 344.671]]",actual,4.0248,0.002772,0.035387,0.00048037,50.0,01,
L0064,52,58,66,45.051,False,"[[403.92, 370.111], [397.08, 359.071], [390.0, 357.751], [384.72, 349.951], [390.6, 335.671]]",actual,7.6587,0.005275,0.067339,0.0009141,50.0,01,
L0065,52,58,66,16.279,False,"[[399.84, 356.311], [398.52, 354.511], [391.2, 353.791], [387.6, 348.151]]",actual,2.7674,0.001906,0.024333,0.0003303,50.0,01,
L0066,52,163,66,18.267,False,"[[390.84, 366.511], [387.0, 364.951], [374.16, 370.831]]",actual,3.1054,0.002139,0.027304,0.00037064,50.0,01,
L0067,54,55,66,33.06,False,"[[582.72, 519.991], [610.68, 502.351]]",actual,5.6202,0.003871,0.049415,0.0006708,50.0,01,
L0068,54,57,66,14.526,False,"[[579.48, 534.151], [582.72, 519.991]]",actual,2.4694,0.001701,0.021712,0.00029474,50.0,01,
L0069,55,126,66,17.285,False,"[[620.28, 502.351], [633.48, 513.511]]",actual,2.9385,0.002024,0.025836,0.00035072,50.0,01,
312H,55,114,66,182.35,False,"[[655.44, 331.471], [627.6, 389.671], [617.28, 395.311], [622.44, 427.231], [621.12, 440.671], [623.04, 456.991], [616.56, 500.311]]",actual,30.9995,0.02135,0.272562,0.00369993,50.0,01,
L0070,56,57,66,17.742,False,"[[563.16, 541.111], [579.48, 534.151]]",actual,3.0161,0.002077,0.026519,0.00035999,50.0,01,
L0071,57,169,66,11.592,False,"[[578.28, 535.471], [583.56, 545.791]]",actual,1.9706,0.001357,0.017327,0.0002352,50.0,01,
L0072,58,216,33,51.075,False,"[[345.72, 319.591], [345.969, 319.679], [346.214, 319.761], [346.455, 319.839], [346.692, 319.912], [346.926, 319.981], [347.157, 320.047], [347.388, 320.109], [347.617, 320.169], [347.846, 320.226], [348.075, 320.281], [348.305, 320.334], [348.537, 320.386], [348.77, 320.437], [349.007, 320.487], [349.247, 320.536], [349.491, 320.586], [349.74, 320.636], [349.994, 320.686], [350.253, 320.738], [350.52, 320.791], [352.825, 320.566], [355.131, 320.393], [357.439, 320.267], [359.748, 320.184], [362.057, 320.139], [364.367, 320.128], [366.677, 320.147], [368.987, 320.192], [371.296, 320.258], [373.605, 320.341], [375.913, 320.437], [378.22, 320.541], [380.525, 320.648], [382.829, 320.756], [385.131, 320.859], [387.43, 320.952], [389.727, 321.033], [392.021, 321.096], [394.312, 321.137], [396.6, 321.151]]",actual,8.6828,0.045208,0.310952,0.00028367,20.0,01,
195D,59,60,66,115.104,False,"[[468.24, 463.831], [473.16, 482.191], [466.32, 486.631], [458.16, 479.671], [431.4, 509.791], [425.4, 542.311], [425.202, 542.293], [425.004, 542.275], [424.806, 542.257], [424.609, 542.239], [424.412, 542.221], [424.215, 542.203], [424.019, 542.185], [423.824, 542.167], [423.629, 542.149], [423.435, 542.131], [423.242, 542.113], [423.05, 542.095], [422.859, 542.077], [422.669, 542.059], [422.481, 542.041], [422.293, 542.023], [422.108, 542.005], [421.923, 541.987], [421.741, 541.969], [421.56, 541.951]]",actual,19.5677,0.013476,0.172048,0.00233549,50.0,01,
L0073,59,91,66,13.798,False,"[[466.8, 467.791], [470.4, 481.111]]",actual,2.3457,0.001615,0.020624,0.00027996,50.0,01,
L0074,59,105,66,20.28,False,"[[467.88, 466.351], [488.16, 466.351]]",actual,3.4476,0.002374,0.030313,0.00041149,50.0,01,
L0075,60,61,66,89.217,False,"[[421.2, 545.191], [424.92, 545.791], [432.0, 566.071], [440.16, 574.471], [454.2, 598.231], [466.92, 603.871], [470.64, 610.111], [470.64, 613.591]]",actual,15.1669,0.010446,0.133354,0.00181024,50.0,01,
172B,61,150,66,15.84,False,"[[470.64, 612.391], [486.48, 612.391]]",actual,2.6928,0.001855,0.023676,0.0003214,50.0,01,
L0076,62,63,66,33.69,False,"[[623.16, 543.871], [618.0, 542.911], [618.24, 533.791], [618.511, 533.809], [618.783, 533.827], [619.058, 533.845], [619.333, 533.863], [619.611, 533.881], [619.889, 533.899], [620.169, 533.917], [620.45, 533.935], [620.732, 533.953], [621.015, 533.971], [621.299, 533.989], [621.584, 534.007], [621.869, 534.025], [622.155, 534.043], [622.442, 534.061], [622.729, 534.079], [623.016, 534.097], [623.304, 534.115], [623.592, 534.133], [623.88, 534.151], [626.28, 532.831], [635.64, 538.471]]",actual,5.7273,0.003944,0.050357,0.00068358,50.0,01,
1209,63,126,66,19.041,False,"[[633.48, 513.511], [636.96, 532.231]]",actual,3.237,0.002229,0.028461,0.00038635,50.0,01,
L0077,64,67,66,23.247,False,"[[616.56, 764.431], [621.96, 769.471], [628.08, 764.311], [625.56, 756.871]]",actual,3.952,0.002722,0.034748,0.00047169,50.0,01,
L0078,65,67,66,11.704,False,"[[636.12, 763.231], [639.24, 774.511]]",actual,1.9897,0.00137,0.017494,0.00023748,50.0,01,
L0079,67,90,66,39.569,False,"[[635.64, 756.151], [660.12, 733.591], [665.76, 736.351]]",actual,6.7267,0.004633,0.059145,0.00080286,50.0,01,
L0080,68,69,66,28.819,False,"[[717.0, 321.391], [703.92, 347.071]]",actual,4.8992,0.003374,0.043076,0.00058474,50.0,01,
L0081,69,70,66,90.103,False,"[[701.76, 348.151], [705.48, 358.831], [716.16, 375.751], [719.88, 382.111], [721.08, 391.231], [725.16, 397.111], [725.76, 406.231], [728.76, 411.271], [729.193, 411.397], [729.627, 411.523], [730.063, 411.649], [730.5, 411.774], [730.939, 411.899], [731.378, 412.024], [731.818, 412.148], [732.258, 412.272], [732.699, 412.394], [733.14, 412.516], [733.581, 412.637], [734.022, 412.757], [734.462, 412.876], [734.902, 412.994], [735.341, 413.111], [735.779, 413.226], [736.217, 413.339], [736.653, 413.452], [737.087, 413.562], [737.52, 413.671], [738.059, 413.797], [738.597, 413.923], [739.133, 414.049], [739.667, 414.175], [740.201, 414.301], [740.734, 414.427], [741.266, 414.553], [741.798, 414.679], [742.329, 414.805], [742.86, 414.931], [743.391, 415.057], [743.922, 415.183], [744.454, 415.309], [744.986, 415.435], [745.519, 415.561], [746.052, 415.687], [746.587, 415.813], [747.123, 415.939], [747.661, 416.065], [748.2, 416.191]]",actual,15.3175,0.010549,0.134679,0.00182821,50.0,01,
L0082,69,119,66,16.249,False,"[[703.92, 348.511], [716.04, 352.471], [717.36, 355.711]]",actual,2.7623,0.001902,0.024288,0.0003297,50.0,01,
L0083,69,120,66,10.704,False,"[[699.0, 348.511], [688.92, 352.111]]",actual,1.8197,0.001253,0.015999,0.00021719,50.0,01,
L0084,70,73,66,39.394,False,"[[748.32, 418.591], [746.4, 422.791], [752.28, 424.231], [756.24, 417.151], [754.32, 396.631]]",actual,6.697,0.004612,0.058883,0.00079931,50.0,01,
L0085,71,72,66,13.925,False,"[[648.48, 1037.552], [658.68, 1047.032]]",actual,2.3673,0.00163,0.020814,0.00028254,50.0,01,
L0086,71,88,66,93.434,False,"[[579.24, 1050.032], [582.84, 1040.312], [586.44, 1036.832], [588.84, 1024.472], [589.578, 1024.454], [590.316, 1024.436], [591.054, 1024.418], [591.792, 1024.4], [592.53, 1024.382], [593.268, 1024.364], [594.006, 1024.346], [594.744, 1024.328], [595.482, 1024.31], [596.22, 1024.292], [596.958, 1024.274], [597.696, 1024.256], [598.434, 1024.238], [599.172, 1024.22], [599.91, 1024.202], [600.648, 1024.184], [601.386, 1024.166], [602.124, 1024.148], [602.862, 1024.13], [603.6, 1024.112], [611.16, 1022.672], [615.6, 1023.392], [642.84, 1040.912], [647.88, 1037.432]]",actual,15.8838,0.010939,0.139658,0.0018958,50.0,01,
L0087,71,89,66,12.646,False,"[[646.44, 1036.352], [642.12, 1031.792], [641.88, 1025.432]]",actual,2.1498,0.001481,0.018902,0.00025659,50.0,01,
L0088,74,75,66,10.764,False,"[[492.36, 800.431], [492.868, 800.472], [493.385, 800.52], [493.908, 800.576], [494.438, 800.638], [494.974, 800.705], [495.514, 800.777], [496.057, 800.852], [496.603, 800.93], [497.151, 801.01], [497.7, 801.091], [498.249, 801.172], [498.797, 801.252], [499.343, 801.33], [499.886, 801.406], [500.426, 801.477], [500.962, 801.545], [501.492, 801.607], [502.015, 801.662], [502.532, 801.711], [503.04, 801.751]]",actual,1.8299,0.00126,0.016089,0.0002184,50.0,01,
L0089,74,101,66,34.672,False,"[[481.68, 797.431], [477.96, 799.111], [466.08, 799.951], [461.28, 804.031], [448.92, 804.751]]",actual,5.8942,0.004059,0.051825,0.0007035,50.0,01,
L0090,75,84,66,14.88,False,"[[504.0, 816.871], [504.0, 816.194], [504.0, 815.496], [504.0, 814.778], [504.0, 814.045], [504.0, 813.297], [504.0, 812.538], [504.0, 811.77], [504.0, 810.994], [504.0, 810.214], [504.0, 809.431], [504.0, 808.649], [504.0, 807.868], [504.0, 807.093], [504.0, 806.324], [504.0, 805.565], [504.0, 804.817], [504.0, 804.084], [504.0, 803.367], [504.0, 802.669], [504.0, 801.991]]",actual,2.5296,0.001742,0.022241,0.00030192,50.0,01,
